class,samples,v4_top1,v6_top1,avg_top1,conf_top1,trust_top1,oracle_top1
figure_skate_hydroblading,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
figure_skate_inaBauer,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
figure_skate_jump_spin,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
figure_skate_scratch_spin,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
figure_skate_sit_spin,3,100.0,100.0,100.0,100.0,100.0,100.0
fire_breathing,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
fire_dancing_circulating,3,0.0,0.0,0.0,0.0,0.0,0.0
fire_extinguisher,3,0.0,0.0,0.0,0.0,0.0,0.0
fish-hunting_hold,3,0.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0
fish-hunting_pull,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
fist_bump,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
flamethrower,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
flipping_bottle,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
floor_rotate,3,100.0,100.0,100.0,100.0,100.0,100.0
floor_spin,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
floss_dance,3,66.66666666666667,100.0,100.0,100.0,100.0,100.0
flying_kite,3,0.0,0.0,0.0,0.0,0.0,0.0
folding_blanket,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
folding_clothes,3,0.0,0.0,0.0,0.0,0.0,0.0
football_catch,3,0.0,0.0,0.0,0.0,0.0,0.0
football_run,3,100.0,0.0,100.0,100.0,100.0,100.0
football_throw,3,0.0,0.0,0.0,0.0,0.0,0.0
forward_fold,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
forward_roll,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
frisbee_catch,3,0.0,0.0,0.0,0.0,0.0,0.0
frisbee_throw,3,33.333333333333336,66.66666666666667,33.333333333333336,0.0,66.66666666666667,66.66666666666667
frog_jump,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
ganggangsullae,3,0.0,0.0,0.0,0.0,0.0,0.0
gangnam_style_dance,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
gas_pumping_to_car,3,0.0,0.0,0.0,0.0,0.0,0.0
golf_part,3,100.0,100.0,100.0,100.0,100.0,100.0
golf_swing,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
grass_skating,3,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
grass_skiing,3,0.0,0.0,0.0,0.0,0.0,0.0
guitar_flip,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
guitar_smashing,3,33.333333333333336,0.0,0.0,0.0,33.333333333333336,33.333333333333336
gym_lift,3,100.0,100.0,100.0,100.0,100.0,100.0
gym_lunges,3,100.0,100.0,100.0,100.0,100.0,100.0
gym_plank,3,100.0,100.0,100.0,100.0,100.0,100.0
gym_pull,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
gym_push,3,0.0,0.0,0.0,0.0,0.0,0.0
gym_ride,3,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
gym_run,3,100.0,100.0,100.0,100.0,100.0,100.0
gym_squat,3,100.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0
hailing_taxi,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
